	5.0	5.0	5.0	10.0	10.0	10.0	20.0	20.0	20.0	40.0	40.0	40.0	50.0	50.0	50.0	80.0	80.0	80.0
time_min	mean	SD	N	mean	SD	N	mean	SD	N	mean	SD	N	mean	SD	N	mean	SD	N
0.0	0	0	3	0	0	3	0	0	3	0	0	3	0	0	3	0	0	3
0.5	47939.09797	0	3	184907.94931999967	0	3	1465530.5357799996	0	3	869700	0	3	869800	0	3	554800	0	3
1.0	47939.09797	0	3	184907.94931999967	0	3	2568130.5357799996	0	3	1102600	0	3	1102600	0	3	691700	0	3
1.5	47939.09797	0	3	-47939.09795999993	0	3	3259830.5357799996	0	3	1191600	0	3	1287500	0	3	828700	0	3
2.0	0	0	3	0	0	3	3444730.5357799996	0	3	1280600	0	3	1424500	0	3	1150600	0	3
3.0	-89029.75337000005	0	3	0	0	3	3533830.5357799996	0	3	1143600	0	3	1650500	0	3	1191700	0	3
3.5	-47939.09797	0	3	47939.09796999954	0	3	3944730.5357799996	0	3	1328600	0	3	1972400	0	3	1513600	0	3
4.0	-47939.09797	0	3	0	0	3	4081630.5357799996	0	3	1102600	0	3	1972400	0	3	1513600	0	3
6.0	-47939.09797	0	3	-273937.7026800001	0	3	4225530.53578	0	3	-458900	0	3	2527100	0	3	1513600	0	3
6.5	0	0	3	89029.75337999966	0	3	4362430.53578	0	3	1006700	0	3	2253200	0	3	1794300	0	3
7.0	-89029.75337000005	0	3	-47939.09795999993	0	3	4129630.5357799996	0	3	1054600	0	3	2253200	0	3	1657400	0	3
7.5	-47939.09797	0	3	47939.09796999954	0	3	4362430.53578	0	3	1239500	0	3	2479200	0	3	1972400	0	3
8.0	95878.19594	0	3	89029.75337999966	0	3	4314530.53578	0	3	1143600	0	3	2575000	0	3	1835400	0	3
10.0	-89029.75337000005	0	3	136968.85135000013	0	3	4314530.53578	0	3	1328600	0	3	2801000	0	3	2020300	0	3
12.0	-47939.09797	0	3	321876.8006600002	0	3	4862430.53578	0	3	1143600	0	3	2801000	0	3	2068300	0	3
14.0	-47939.09797	0	3	89029.75337999966	0	3	4684330.53578	0	3	1102600	0	3	2801000	0	3	2253200	0	3
16.0	95878.19594	0	3	369815.8986299997	0	3	4958230.53578	0	3	1883300	0	3	3444800	0	3	2616200	0	3
20.0	0	0	3	136968.85135000013	0	3	4821330.53578	0	3	1602500	0	3	3033900	0	3	2568200	0	3